SEQ,T_US,A1X,A1Y,A1Z,G1X,G1Y,G1Z,A2X,A2Y,A2Z,G2X,G2Y,G2Z
43315,436449653,8.595,-0.141,6.325,0.0003,0.0007,-0.0001,-1.075,0.022,9.847,-0.0005,-0.0016,-0.0005
43316,436459656,8.600,-0.124,6.314,0.0003,0.0004,-0.0001,-1.075,0.050,9.859,-0.0010,0.0002,-0.0003
43317,436469652,8.614,-0.129,6.297,-0.0008,-0.0006,-0.0009,-1.068,0.067,9.857,-0.0008,0.0010,-0.0000
43318,436479656,8.619,-0.134,6.280,-0.0002,-0.0009,-0.0004,-1.065,0.060,9.874,-0.0005,0.0002,-0.0008
43319,436489657,8.614,-0.115,6.282,0.0006,-0.0017,-0.0001,-1.085,0.053,9.864,0.0003,0.0002,0.0005
43320,436499659,8.605,-0.134,6.285,0.0000,-0.0004,0.0009,-1.077,0.053,9.862,0.0003,-0.0003,0.0005
43321,436509659,8.602,-0.124,6.290,0.0008,0.0015,-0.0001,-1.085,0.041,9.874,0.0006,-0.0003,-0.0000
43322,436519657,8.617,-0.122,6.328,0.0006,0.0004,0.0001,-1.075,0.065,9.855,0.0000,0.0002,-0.0005
43323,436529656,8.624,-0.134,6.330,-0.0002,-0.0001,-0.0001,-1.089,0.048,9.852,0.0000,0.0005,-0.0003
43324,436539658,8.612,-0.134,6.306,-0.0008,-0.0006,-0.0007,-1.094,0.053,9.867,-0.0008,0.0015,0.0003
43325,436549652,8.612,-0.144,6.309,-0.0005,0.0018,-0.0007,-1.077,0.041,9.840,0.0000,-0.0000,0.0005
43326,436559653,8.610,-0.129,6.325,-0.0002,-0.0004,-0.0004,-1.087,0.048,9.862,0.0006,-0.0003,-0.0000
43327,436569656,8.617,-0.124,6.290,-0.0008,0.0012,-0.0001,-1.063,0.048,9.840,0.0003,-0.0006,0.0005
43328,436579653,8.629,-0.141,6.318,-0.0005,0.0007,0.0001,-1.058,0.041,9.845,0.0006,0.0010,-0.0003
43329,436589652,8.612,-0.139,6.323,0.0008,0.0010,-0.0001,-1.085,0.072,9.845,0.0000,0.0013,-0.0000
43330,436599658,8.598,-0.129,6.325,0.0000,-0.0006,-0.0004,-1.104,0.062,9.869,-0.0005,0.0005,-0.0000
43331,436609656,8.607,-0.134,6.335,0.0000,-0.0004,0.0004,-1.080,0.065,9.869,0.0003,0.0002,-0.0003
43332,436619655,8.610,-0.129,6.311,0.0000,0.0015,0.0001,-1.082,0.045,9.859,0.0003,0.0005,-0.0005
43333,436629651,8.617,-0.115,6.302,-0.0002,0.0020,0.0001,-1.097,0.050,9.893,-0.0005,-0.0000,-0.0008
43334,436639653,8.595,-0.134,6.318,-0.0008,0.0023,0.0009,-1.058,0.062,9.874,-0.0002,-0.0003,-0.0003
43335,436649657,8.619,-0.139,6.318,-0.0005,0.0010,0.0007,-1.082,0.053,9.862,0.0006,0.0002,-0.0005
43336,436659657,8.622,-0.132,6.311,0.0000,0.0018,0.0004,-1.080,0.065,9.890,-0.0010,0.0005,-0.0013
43337,436669653,8.617,-0.124,6.325,0.0006,-0.0004,-0.0001,-1.075,0.050,9.871,-0.0002,0.0005,-0.0000
43338,436679655,8.622,-0.139,6.342,0.0008,-0.0004,0.0001,-1.061,0.050,9.869,-0.0002,0.0008,-0.0003
43339,436689656,8.626,-0.134,6.337,0.0003,0.0012,0.0001,-1.080,0.055,9.852,0.0003,0.0002,-0.0005
43340,436699655,8.619,-0.153,6.328,-0.0002,0.0018,-0.0004,-1.094,0.065,9.859,0.0003,0.0008,0.0003
43341,436709657,8.617,-0.151,6.302,0.0011,-0.0004,0.0001,-1.073,0.057,9.881,0.0000,0.0008,0.0005
43342,436719655,8.614,-0.136,6.299,0.0000,-0.0001,-0.0004,-1.085,0.067,9.890,0.0011,0.0005,-0.0003
43343,436729656,8.612,-0.124,6.333,-0.0005,0.0010,0.0001,-1.097,0.069,9.845,-0.0005,0.0008,0.0005
43344,436739656,8.607,-0.136,6.302,-0.0005,0.0012,-0.0001,-1.097,0.062,9.862,-0.0016,0.0002,-0.0000
43345,436749653,8.605,-0.132,6.316,-0.0002,0.0010,0.0001,-1.082,0.060,9.857,-0.0002,0.0002,-0.0003
43346,436759653,8.598,-0.127,6.309,-0.0002,0.0015,-0.0004,-1.094,0.062,9.845,-0.0002,0.0002,-0.0005
43347,436769652,8.600,-0.124,6.323,-0.0002,0.0012,-0.0004,-1.068,0.081,9.862,-0.0002,-0.0006,-0.0003
43348,436779651,8.605,-0.136,6.302,0.0000,0.0010,0.0001,-1.073,0.074,9.890,-0.0005,-0.0003,-0.0011
43349,436789651,8.600,-0.134,6.297,0.0003,0.0004,0.0009,-1.077,0.065,9.890,-0.0002,-0.0000,-0.0011
43350,436799659,8.610,-0.144,6.314,0.0006,0.0012,0.0007,-1.082,0.048,9.867,0.0003,0.0005,-0.0005
43351,436809657,8.614,-0.129,6.325,0.0003,0.0044,-0.0001,-1.085,0.034,9.871,-0.0008,0.0013,-0.0005
43352,436819652,8.607,-0.141,6.328,0.0011,0.0031,-0.0004,-1.073,0.053,9.857,-0.0002,0.0013,-0.0003
43353,436829655,8.602,-0.144,6.328,0.0008,0.0018,-0.0007,-1.080,0.062,9.862,0.0000,-0.0000,-0.0008
43354,436839656,8.612,-0.141,6.316,0.0003,0.0004,-0.0001,-1.082,0.053,9.876,0.0000,0.0002,-0.0000
43355,436849653,8.614,-0.139,6.306,-0.0002,-0.0014,-0.0001,-1.099,0.057,9.881,0.0000,0.0008,-0.0003
43356,436859655,8.602,-0.141,6.318,0.0000,-0.0001,0.0001,-1.082,0.031,9.886,0.0000,-0.0003,-0.0008
43357,436869653,8.598,-0.129,6.297,0.0011,-0.0006,0.0004,-1.087,0.036,9.900,0.0003,0.0005,-0.0000
43358,436879658,8.605,-0.115,6.314,-0.0005,0.0012,-0.0001,-1.099,0.055,9.876,-0.0005,0.0010,0.0005
43359,436889658,8.610,-0.115,6.285,-0.0005,-0.0009,-0.0001,-1.061,0.060,9.869,0.0003,0.0010,0.0003
43360,436899658,8.607,-0.120,6.306,-0.0002,-0.0014,-0.0004,-1.075,0.036,9.874,0.0003,-0.0000,-0.0000
43361,436909656,8.622,-0.129,6.302,0.0008,-0.0014,0.0001,-1.077,0.072,9.852,0.0003,-0.0008,-0.0003
43362,436919658,8.605,-0.105,6.311,0.0008,0.0004,-0.0007,-1.077,0.050,9.864,0.0000,0.0002,-0.0000
43363,436929652,8.614,-0.141,6.318,0.0008,0.0020,-0.0009,-1.068,0.065,9.874,0.0008,0.0002,0.0005
43364,436939652,8.614,-0.146,6.302,0.0000,0.0010,-0.0004,-1.080,0.050,9.874,0.0003,0.0005,0.0003
43365,436949658,8.607,-0.120,6.357,-0.0002,0.0023,-0.0004,-1.082,0.057,9.847,-0.0005,0.0002,0.0003
43366,436959658,8.614,-0.124,6.340,-0.0002,0.0004,0.0007,-1.063,0.055,9.852,-0.0008,0.0002,0.0008
43367,436969653,8.612,-0.120,6.333,0.0003,-0.0004,0.0001,-1.085,0.043,9.876,0.0000,0.0002,-0.0000
43368,436979652,8.607,-0.124,6.328,0.0008,0.0004,0.0007,-1.080,0.041,9.874,0.0011,0.0005,0.0005
43369,436989657,8.610,-0.132,6.333,-0.0002,0.0010,0.0001,-1.073,0.048,9.864,0.0011,0.0005,0.0008
43370,436999656,8.593,-0.156,6.321,-0.0008,0.0002,0.0001,-1.077,0.043,9.859,-0.0005,0.0002,0.0003
43371,437009655,8.607,-0.132,6.290,0.0000,-0.0009,-0.0004,-1.085,0.048,9.874,-0.0005,-0.0006,-0.0008
43372,437019658,8.607,-0.122,6.325,0.0006,-0.0006,0.0001,-1.085,0.060,9.876,0.0000,0.0002,-0.0005
43373,437029657,8.614,-0.129,6.342,0.0003,-0.0014,-0.0004,-1.085,0.065,9.859,-0.0005,0.0005,-0.0011
43374,437039653,8.617,-0.127,6.325,0.0000,0.0007,-0.0007,-1.087,0.060,9.869,0.0000,0.0005,-0.0003
43375,437049653,8.605,-0.129,6.323,-0.0002,0.0007,-0.0001,-1.092,0.057,9.843,-0.0008,0.0013,0.0003
43376,437059657,8.595,-0.139,6.330,0.0003,-0.0001,0.0001,-1.092,0.055,9.864,-0.0008,0.0002,-0.0000
43377,437069651,8.600,-0.144,6.321,0.0008,-0.0004,0.0004,-1.077,0.050,9.857,0.0014,0.0005,0.0003
43378,437079655,8.610,-0.139,6.309,0.0011,-0.0014,0.0007,-1.073,0.069,9.855,0.0008,0.0002,-0.0008
43379,437089658,8.612,-0.153,6.347,0.0006,-0.0012,-0.0004,-1.073,0.065,9.867,-0.0005,0.0005,0.0008
43380,437099652,8.617,-0.139,6.314,-0.0002,-0.0001,0.0001,-1.085,0.041,9.852,0.0003,-0.0003,0.0003
43381,437109653,8.622,-0.141,6.304,0.0003,0.0004,-0.0004,-1.073,0.050,9.883,0.0003,-0.0000,-0.0000
43382,437119656,8.605,-0.136,6.309,0.0003,0.0012,-0.0007,-1.089,0.053,9.874,0.0000,-0.0000,-0.0003
